cd_cliente,nome_cliente,aquisição_cliente
142,Ricardo,Organic
143,Manoel,Direct
144,Daniel,Organic
145,José,Google Ads - Search
146,Paul,Direct
147,Sérgio,Referral
148,Mário,Referral
149,João,Organic
150,Patrícia,Criteo Remarketing
151,Daniel,Google Ads - Search
152,Leandro,Direct
153,Sérgio,Direct
154,Mário,Organic
155,Ricardo,Organic
156,Antônia,Google Ads - Search
157,Sebastião,Google Ads - Search
158,Ricardo,Direct
159,Alexandre,Google Ads - Search
160,Luiz,Organic
161,Edson,Social Media
162,Maria,Direct
163,Marcos,Organic
164,Benedito,Social Media
165,Daniel,Google Ads - Search
166,Marcelo,Referral
167,Rosa,Google Ads - Search
168,Marcelo,Referral
169,Francisca,Direct
170,Ricardo,Social Media
171,Sérgio,Social Media
172,Rosa,Direct
173,Eduardo,Organic
174,Adriana,Direct
175,Francisca,Google Ads - Search
176,Alexandre,Organic
177,Maria,Organic
178,Terezinha,Criteo Remarketing
179,Sandra,Criteo Remarketing
180,Carlos,Organic
181,Antônio,Organic
182,Patrícia,Direct
183,Fabio,Organic
184,Alexandre,Direct
185,Antônia,Organic
186,Sebastiã,Organic
187,Luciana,Organic
188,Sérgio,Direct
189,Benedito,Organic
190,Cláudio,Organic
191,Luciana,Google Ads - Search
192,Rosa,Direct
193,Antônia,Organic
194,Luis,Google Ads - Youtube
195,Pedro,Direct
196,Márci,Direct
197,Cláudio,Google Ads - Search
198,Rafael,Referral
199,Márci,Organic
200,Vera,Organic
201,André,Direct
202,Marcos,Social Media
203,André,Social Media
204,Fabio,Organic
205,Luciana,Direct
206,Pedro,Google Ads - Search
207,Marcos,Direct
208,Raimunda,Direct
209,Rosa,Google Ads - Search
210,Josefa,Organic
211,Josefa,Organic
212,Márci,Organic
213,Raimunda,Organic
214,André,Google Ads - Search
215,Fernando,Google Ads - Search
216,Rafael,Social Media
217,Rita,Direct
218,Mário,Organic
219,Sônia,Google Ads - Search
220,Joaquim,Referral
221,José,Organic
222,Josefa,Criteo Remarketing
223,Francisca,Google Ads - Search
224,Ricardo,Direct
225,Paul,Direct
226,Cláudio,Organic
227,Leandro,Organic
228,Adriana,Organic
229,Sandra,Google Ads - Search
230,Francisco,Organic
231,Sérgio,Google Ads - Search
232,André,Organic
233,Geraldo,Criteo Remarketing
234,Luis,Organic
235,Adriana,Organic
236,Luciana,Referral
237,Alexandre,Social Media
238,Leandro,Google Ads - Search
239,Luis,Direct
240,Pedro,Organic
241,Geraldo,Direct
242,Luiz,Organic
243,Marcos,Direct
244,Luis,Referral
245,Alexandre,Organic
246,Jorge,Direct
247,Francisco,Organic
248,Rodrigo,Organic
249,Cláudio,Facebook Ads - Facebook
250,Joaquim,Direct
251,Paul,Organic
252,Edson,Criteo Remarketing
253,Luis,Organic
254,Ana,Google Ads - Search
255,Márci,Criteo Remarketing
256,Robert,Google Ads - Search
257,André,Direct
258,Raimunda,Criteo Remarketing
259,Pedro,Referral
260,Eduardo,Organic
261,Marcos,Social Media
262,José,Organic
263,José,Organic
264,João,Referral
265,Ricardo,Organic
266,Rita,Organic
267,Antônia,Referral
268,Paul,Organic
269,Alexandre,Google Ads - Search
270,Paul,Social Media
271,José,Organic
272,Benedito,Google Ads - Search
273,Leandro,Referral
274,Cláudio,Organic
275,Joaquim,Direct
276,Mário,Organic
277,Edson,Organic
278,Jorge,Social Media
279,João,Organic
280,Sandra,Direct
281,Mário,Direct
282,João,Direct
283,Rafael,Criteo Remarketing
284,Luiz,Organic
285,Mário,Organic
286,João,Social Media
287,Paul,Organic
288,Edson,Organic
289,Pedro,Organic
290,Luis,Organic
291,Luis,Organic
292,Francisca,Direct
293,Robert,Criteo Remarketing
294,Adriana,Google Ads - Search
295,Cláudio,Google Ads - Search
296,Raimunda,Direct
297,Joaquim,Direct
298,Jorge,Google Ads - Display
299,Geraldo,Google Ads - Display
300,Carlos,Direct
301,José,Google Ads - Display
302,Robert,Direct
303,João,Google Ads - Display
304,Eduardo,Direct
305,Francisco,Organic
306,Sebastiã,Google Ads - Search
307,Benedito,Criteo Remarketing
308,Sandra,Direct
309,Márci,Google Ads - Display
310,Geraldo,Direct
311,Geraldo,Google Ads - Search
312,Manoel,Social Media
313,Maria,Facebook Ads - Facebook
314,Raimundo,Organic
315,Fernando,Organic
316,Edson,Organic
317,José,Google Ads - Search
318,Rodrigo,Direct
319,Mário,Organic
320,Fabio,Criteo Remarketing
321,Jorge,Organic
322,Ricardo,Facebook Ads - Instagram
323,Alexandre,Facebook Ads - Instagram
324,Adriana,Google Ads - Youtube
325,Antônia,Google Ads - Youtube
326,Márci,Google Ads - Search
327,Edson,Organic
328,Antônia,Google Ads - Search
329,Jorge,Direct
330,Raimundo,Facebook Ads - Facebook
331,Francisca,Direct
332,Alexandre,Organic
333,Eduardo,Facebook Ads - Instagram
334,Manoel,Google Ads - Youtube
335,Edson,Facebook Ads - Instagram
336,Geraldo,Google Ads - Display
337,Jorge,Direct
338,Fabio,Google Ads - Youtube
339,Leandro,Criteo Remarketing
340,Luiz,Direct
341,Luciana,Organic
342,José,Facebook Ads - Facebook
343,Eduardo,Google Ads - Search
344,Antônia,Google Ads - Search
345,Jorge,Google Ads - Search
346,Luciana,Facebook Ads - Instagram
347,Rafael,Google Ads - Search
348,Francisco,Organic
349,André,Organic
350,Rodrigo,Organic
351,Luiz,Organic
352,Antônia,Google Ads - Youtube
353,Rodrigo,Google Ads - Search
354,Jorge,Direct
355,Ricardo,Organic
356,Leandro,Direct
357,Fernando,Facebook Ads - Facebook
358,Luiz,Facebook Ads - Facebook
359,Terezinha,Google Ads - Search
360,Adriana,Criteo Remarketing
361,Francisco,Organic
362,Márci,Google Ads - Display
363,Benedito,Direct
364,Ana,Organic
365,Adriana,Google Ads - Search
366,Márci,Direct
367,Fabio,Organic
368,Paul,Facebook Ads - Facebook
369,Antônia,Organic
370,Sônia,Organic
371,Patrícia,Direct
372,Luiz,Organic
373,Rafael,Direct
374,Rosa,Google Ads - Youtube
375,Benedito,Organic
376,Rosa,Google Ads - Search
377,Rodrigo,Direct
378,André,Direct
379,Sérgio,Referral
380,Francisco,Direct
381,Mário,Organic
382,Francisco,Social Media
383,Rodrigo,Direct
384,Fabio,Referral
385,Francisca,Organic
386,Ana,Google Ads - Search
387,Sérgio,Organic
388,Edson,Google Ads - Youtube
389,José,Google Ads - Youtube
390,Edson,Organic
391,Adriana,Google Ads - Search
392,Patrícia,Google Ads - Search
393,Rosa,Direct
394,Joaquim,Organic
395,Rodrigo,Organic
396,Antônia,Google Ads - Display
397,Raimundo,Referral
398,Raimunda,Organic
399,José,Google Ads - Search
400,Francisco,Facebook Ads - Facebook
401,José,Google Ads - Search
402,Josefa,Direct
403,Fernando,Google Ads - Display
404,Rosa,Referral
405,José,Criteo Remarketing
406,Luciana,Direct
407,Ana,Organic
408,Marcos,Organic
409,Antônia,Direct
410,Terezinha,Google Ads - Search
411,Marcelo,Google Ads - Display
412,Márci,Organic
413,Sérgio,Google Ads - Search
414,José,Google Ads - Search
415,Joaquim,Facebook Ads - Instagram
416,Edson,Direct
417,Paul,Facebook Ads - Instagram
418,Paul,Social Media
419,Manoel,Direct
420,Luciana,Facebook Ads - Instagram
421,André,Direct
422,Fabio,Direct
423,Pedro,Referral
424,Sônia,Social Media
425,João,Organic
426,Rita,Referral
427,Sebastiã,Direct
428,Paul,Facebook Ads - Facebook
429,Paul,Direct
430,Marcelo,Direct
431,Márci,Google Ads - Search
432,Alexandre,Direct
433,Rodrigo,Social Media
434,Raimunda,Google Ads - Display
435,Sebastiã,Organic
436,Joaquim,Google Ads - Search
437,Eduardo,Organic
438,Rafael,Direct
439,Sandra,Social Media
440,Sônia,Organic
441,Mário,Google Ads - Youtube
442,Ana,Google Ads - Search
443,Geraldo,Direct
444,Terezinha,Direct
445,Francisco,Direct
446,Josefa,Google Ads - Search
447,Sérgio,Google Ads - Search
448,Rodrigo,Organic
449,Benedito,Direct
450,Jorge,Google Ads - Search
451,Ricardo,Direct
452,Eduardo,Direct
453,Adriana,Direct
454,Adriana,Google Ads - Search
455,Edson,Facebook Ads - Instagram
456,Paul,Google Ads - Youtube
457,Sebastiã,Facebook Ads - Instagram
458,Daniel,Direct
459,Terezinha,Organic
460,Patrícia,Organic
461,Robert,Organic
462,Mário,Google Ads - Search
463,Sérgio,Social Media
464,Francisco,Organic
465,Paul,Organic
466,Sandra,Google Ads - Display
467,Cláudio,Organic
468,Raimundo,Organic
469,Benedito,Google Ads - Search
470,André,Referral
471,Ana,Direct
472,Fernando,Criteo Remarketing
473,Rodrigo,Social Media
474,Adriana,Direct
475,Luiz,Criteo Remarketing
476,Rafael,Direct
477,Rodrigo,Social Media
478,Márci,Organic
479,Edson,Organic
480,Ana,Organic
481,Josefa,Google Ads - Search
482,Luiz,Direct
483,Antônia,Organic
484,Terezinha,Direct
485,Eduardo,Google Ads - Search
486,João,Google Ads - Youtube
487,Patrícia,Direct
488,Raimundo,Facebook Ads - Instagram
489,Rosa,Direct
490,Fernando,Organic
491,Maria,Social Media
492,Ana,Direct
493,Manoel,Google Ads - Youtube
494,Márci,Direct
495,Geraldo,Google Ads - Search
496,Luiz,Referral
497,Daniel,Facebook Ads - Facebook
498,Francisca,Organic
499,Francisca,Organic
500,Ana,Social Media
501,Fabio,Google Ads - Search
502,Luciana,Direct
503,Terezinha,Referral
504,Mário,Organic
505,Eduardo,Referral
506,Edson,Direct
507,Jorge,Organic
508,André,Google Ads - Youtube
509,Terezinha,Referral
510,Francisca,Organic
511,Márci,Direct
512,Maria,Referral
513,Marcelo,Google Ads - Search
514,Fabio,Google Ads - Search
515,Edson,Facebook Ads - Instagram
516,Robert,Google Ads - Search
517,Francisca,Organic
518,Márci,Referral
519,Adriana,Direct
520,Ana,Organic
521,Luis,Direct
522,Robert,Google Ads - Display
523,Joaquim,Organic
524,Rodrigo,Google Ads - Search
525,Carlos,Direct
526,José,Google Ads - Search
527,Sérgio,Google Ads - Search
528,Ana,Facebook Ads - Instagram
529,Sérgio,Organic
530,Luiz,Google Ads - Search
531,Márci,Direct
532,Jorge,Organic
533,Sebastiã,Google Ads - Youtube
534,Ana,Google Ads - Search
535,Adriana,Organic
536,Sérgio,Google Ads - Search
537,Josefa,Organic
538,Marcelo,Organic
539,Raimundo,Organic
540,Marcelo,Facebook Ads - Facebook
541,Patrícia,Organic
542,Antônio,Google Ads - Display
543,Patrícia,Criteo Remarketing
544,Vera,Direct
545,Rosa,Organic
546,Cláudio,Referral
547,Fabio,Organic
548,Vera,Direct
549,Fabio,Social Media
550,Patrícia,Direct
551,Pedro,Google Ads - Youtube
552,Pedro,Facebook Ads - Instagram
553,Josefa,Google Ads - Search
554,Rosa,Social Media
555,Ricardo,Organic
556,Vera,Direct
557,Ricardo,Facebook Ads - Instagram
558,João,Referral
559,Rodrigo,Google Ads - Search
560,Márci,Google Ads - Search
561,Antônio,Organic
562,Edson,Organic
563,Márci,Direct
564,Josefa,Criteo Remarketing
565,Edson,Criteo Remarketing
566,Manoel,Direct
567,Terezinha,Facebook Ads - Instagram
568,Rodrigo,Organic
569,Sérgio,Google Ads - Search
570,Benedito,Facebook Ads - Instagram
571,Raimundo,Direct
572,Fabio,Google Ads - Search
573,Sérgio,Organic
574,André,Direct
575,Maria,Google Ads - Search
576,Ricardo,Organic
577,Sônia,Organic
578,Luis,Facebook Ads - Instagram
579,André,Social Media
580,Eduardo,Direct
581,Fernando,Referral
582,Eduardo,Referral
583,Antônia,Organic
584,Josefa,Facebook Ads - Facebook
585,Márci,Referral
586,Márci,Criteo Remarketing
587,Rodrigo,Direct
588,Marcelo,Facebook Ads - Instagram
589,Vera,Google Ads - Display
590,José,Facebook Ads - Instagram
591,Alexandre,Facebook Ads - Facebook
592,Jorge,Organic
593,Sandra,Facebook Ads - Facebook
594,Adriana,Organic
595,Adriana,Organic
596,Luiz,Google Ads - Search
597,Rita,Direct
598,Rodrigo,Organic
599,Carlos,Facebook Ads - Instagram
600,José,Direct
601,José,Direct
602,Geraldo,Facebook Ads - Instagram
603,Robert,Google Ads - Search
604,Manoel,Google Ads - Youtube
605,Rita,Organic
606,André,Organic
607,Fernando,Social Media
608,Raimunda,Organic
609,André,Google Ads - Youtube
610,João,Facebook Ads - Instagram
611,Rita,Google Ads - Search
612,Carlos,Social Media
613,Eduardo,Direct
614,Mário,Organic
615,Antônia,Facebook Ads - Instagram
616,Francisca,Direct
617,Alexandre,Direct
618,Pedro,Facebook Ads - Facebook
619,Luciana,Referral
620,Carlos,Social Media
621,Rita,Organic
622,Eduardo,Referral
623,Luis,Criteo Remarketing
624,Antônia,Organic
625,Raimundo,Organic
626,Jorge,Referral
627,Geraldo,Google Ads - Display
628,Rodrigo,Google Ads - Youtube
629,Luis,Organic
630,Fernando,Referral
631,Edson,Google Ads - Youtube
632,Robert,Direct
633,Edson,Google Ads - Search
634,Raimunda,Direct
635,Alexandre,Facebook Ads - Facebook
636,José,Google Ads - Youtube
637,Joaquim,Facebook Ads - Facebook
638,Antônio,Google Ads - Search
639,Benedito,Google Ads - Display
640,Manoel,Direct
641,Eduardo,Criteo Remarketing
642,Daniel,Organic
643,Jorge,Google Ads - Search
644,Manoel,Criteo Remarketing
645,Alexandre,Organic
646,Manoel,Google Ads - Display
647,Eduardo,Direct
648,Robert,Google Ads - Search
649,Eduardo,Organic
650,Geraldo,Social Media
651,Paul,Facebook Ads - Instagram
652,Jorge,Direct
653,Eduardo,Direct
654,Robert,Google Ads - Search
655,José,Direct
656,Raimunda,Organic
657,Benedito,Direct
658,Leandro,Organic
659,Márci,Social Media
660,Luiz,Organic
661,Mário,Organic
662,Francisco,Google Ads - Search
663,Luiz,Criteo Remarketing
664,Sebastiã,Google Ads - Display
665,João,Facebook Ads - Facebook
666,Vera,Google Ads - Display
667,Carlos,Google Ads - Youtube
668,Patrícia,Criteo Remarketing
669,Cláudio,Google Ads - Youtube
670,André,Facebook Ads - Instagram
671,Rafael,Facebook Ads - Facebook
672,Francisca,Google Ads - Search
673,Vera,Criteo Remarketing
674,Sônia,Direct
675,Pedro,Organic
676,Mário,Organic
677,Marcos,Organic
678,Eduardo,Google Ads - Display
679,Edson,Direct
680,Sebastiã,Facebook Ads - Instagram
681,Sérgio,Direct
682,Rodrigo,Organic
683,Manoel,Organic
684,Alexandre,Organic
685,Leandro,Organic
686,Vera,Google Ads - Search
687,Luiz,Organic
688,Raimunda,Organic
689,Daniel,Google Ads - Display
690,Edson,Google Ads - Search
691,Sandra,Facebook Ads - Instagram
692,Jorge,Criteo Remarketing
693,Sérgio,Google Ads - Search
694,Sérgio,Google Ads - Youtube
695,Patrícia,Organic
696,Ricardo,Organic
697,Geraldo,Referral
698,Luiz,Direct
699,Luiz,Organic
700,Antônio,Social Media
701,Leandro,Social Media
702,Sebastiã,Organic
703,Terezinha,Direct
704,Rosa,Criteo Remarketing
705,Cláudio,Google Ads - Youtube
706,Raimunda,Facebook Ads - Facebook
707,Rita,Google Ads - Search
708,Fernando,Facebook Ads - Facebook
709,Rosa,Referral
710,Fernando,Organic
711,Antônio,Direct
712,Eduardo,Referral
713,André,Referral
714,Luiz,Facebook Ads - Facebook
715,Sérgio,Organic
716,Rita,Google Ads - Display
717,Marcos,Google Ads - Youtube
718,Leandro,Google Ads - Display
719,Márci,Direct
720,João,Direct
721,Benedito,Direct
722,Luis,Google Ads - Search
723,Daniel,Facebook Ads - Facebook
724,Fernando,Direct
725,Maria,Criteo Remarketing
726,Ana,Facebook Ads - Instagram
727,Luis,Facebook Ads - Instagram
728,Benedito,Organic
729,Ana,Direct
730,Terezinha,Google Ads - Search
731,Carlos,Google Ads - Youtube
732,Márci,Google Ads - Display
733,Josefa,Organic
734,Josefa,Facebook Ads - Instagram
735,Marcos,Organic
736,André,Facebook Ads - Instagram
737,Sandra,Direct
738,Márci,Google Ads - Search
739,Carlos,Google Ads - Search
740,João,Organic
741,Jorge,Google Ads - Search
742,Marcelo,Google Ads - Search
743,Sandra,Facebook Ads - Facebook
744,Rafael,Facebook Ads - Instagram
745,Benedito,Facebook Ads - Instagram
746,Eduardo,Criteo Remarketing
747,Rosa,Referral
748,Sebastiã,Facebook Ads - Facebook
749,Paul,Organic
750,Rodrigo,Direct
751,Robert,Direct
752,Antônio,Facebook Ads - Facebook
753,Márci,Organic
754,Luiz,Facebook Ads - Facebook
755,Daniel,Google Ads - Search
756,Leandro,Direct
757,Benedito,Google Ads - Search
758,Luis,Organic
759,Rosa,Google Ads - Youtube
760,Vera,Organic
761,Márci,Organic
762,Pedro,Google Ads - Search
763,Eduardo,Google Ads - Display
764,Raimundo,Google Ads - Youtube
765,Manoel,Google Ads - Search
766,Terezinha,Organic
767,Adriana,Direct
768,Maria,Organic
769,Francisco,Facebook Ads - Facebook
770,Fabio,Google Ads - Search
771,Sônia,Organic
772,Robert,Organic
773,Daniel,Organic
774,Antônio,Referral
775,Francisco,Direct
776,Sandra,Google Ads - Youtube
777,Mário,Direct
778,Cláudio,Organic
779,Sandra,Direct
780,Carlos,Direct
781,Josefa,Facebook Ads - Facebook
782,Fernando,Google Ads - Search
783,Luis,Organic
784,Márci,Criteo Remarketing
785,Ricardo,Social Media
786,Alexandre,Google Ads - Search
787,Marcos,Google Ads - Search
788,Paul,Organic
789,Pedro,Google Ads - Search
790,Sônia,Google Ads - Display
791,Rodrigo,Google Ads - Youtube
792,Eduardo,Direct
793,Daniel,Facebook Ads - Facebook
794,Ana,Direct
795,Josefa,Direct
796,Ana,Facebook Ads - Instagram
797,Mário,Organic
798,Paul,Google Ads - Search
799,Marcelo,Direct
800,Márci,Organic
801,Terezinha,Facebook Ads - Instagram
802,Manoel,Organic
803,Antônia,Google Ads - Search
804,Josefa,Social Media
805,Francisca,Organic
806,Cláudio,Referral
807,Sônia,Google Ads - Search
808,Francisca,Google Ads - Display
809,Francisco,Direct
810,Benedito,Direct
811,Rosa,Organic
812,Mário,Referral
813,Manoel,Google Ads - Search
814,Carlos,Facebook Ads - Instagram
815,Sebastiã,Google Ads - Search
816,Terezinha,Organic
817,Manoel,Organic
818,Joaquim,Organic
819,Alexandre,Direct
820,Fabio,Referral
821,Pedro,Referral
822,Geraldo,Direct
823,Daniel,Google Ads - Display
824,Geraldo,Google Ads - Youtube
825,Antônia,Referral
826,Manoel,Organic
827,Sandra,Facebook Ads - Instagram
828,Maria,Referral
829,Fabio,Facebook Ads - Facebook
830,Patrícia,Facebook Ads - Instagram
831,Raimundo,Facebook Ads - Facebook
832,Maria,Google Ads - Youtube
833,Sebastiã,Organic
834,Márci,Google Ads - Display
835,Luis,Google Ads - Display
836,Mário,Google Ads - Youtube
837,Rodrigo,Organic
838,André,Facebook Ads - Facebook
839,Joaquim,Google Ads - Search
840,Luis,Direct
841,Rodrigo,Referral
842,Francisco,Google Ads - Youtube
843,Francisco,Facebook Ads - Instagram
844,Fernando,Google Ads - Search
845,Josefa,Direct
846,Sérgio,Google Ads - Search
847,Luis,Organic
848,Sônia,Criteo Remarketing
849,Fabio,Organic
850,Sônia,Organic
851,Fabio,Google Ads - Search
852,Pedro,Direct
853,Carlos,Google Ads - Youtube
854,Ricardo,Organic
855,Marcos,Google Ads - Search
856,Raimundo,Facebook Ads - Facebook
857,Raimunda,Criteo Remarketing
858,Mário,Google Ads - Search
859,Paul,Organic
860,Pedro,Direct
861,José,Google Ads - Search
862,Márci,Google Ads - Search
863,Patrícia,Google Ads - Youtube
864,Antônia,Direct
865,Rita,Google Ads - Display
866,Jorge,Facebook Ads - Instagram
867,Rosa,Referral
868,Antônia,Direct
869,Daniel,Organic
870,Josefa,Social Media
871,Rodrigo,Organic
872,Antônio,Direct
873,Antônio,Direct
874,João,Google Ads - Search
875,Edson,Social Media
876,Sebastiã,Organic
877,Patrícia,Direct
878,Benedito,Referral
879,Fabio,Organic
880,Joaquim,Direct
881,Raimundo,Facebook Ads - Facebook
882,Geraldo,Organic
883,Jorge,Direct
884,Paul,Organic
885,Edson,Direct
886,Rosa,Direct
887,Sandra,Organic
888,Jorge,Criteo Remarketing
889,Rita,Organic
890,Rodrigo,Google Ads - Search
891,Luis,Referral
892,Jorge,Google Ads - Search
893,Daniel,Social Media
894,Raimunda,Facebook Ads - Instagram
895,Antônia,Organic
896,Rosa,Organic
897,Joaquim,Facebook Ads - Instagram
898,Antônio,Direct
899,João,Referral
900,Ana,Direct
901,Rita,Direct
902,Luiz,Google Ads - Search
903,Carlos,Direct
904,Sandra,Direct
905,André,Direct
906,Ana,Direct
907,Francisca,Organic
908,Patrícia,Google Ads - Search
909,Benedito,Criteo Remarketing
910,Paul,Organic
911,Carlos,Facebook Ads - Instagram
912,Edson,Social Media
913,Adriana,Direct
914,Robert,Direct
915,Daniel,Direct
916,Patrícia,Organic
917,Mário,Google Ads - Search
918,Alexandre,Social Media
919,Francisco,Referral
920,José,Google Ads - Display
921,André,Direct
922,André,Direct
923,Sebastiã,Direct
924,Joaquim,Direct
925,Rosa,Direct
926,Márci,Direct
927,Rodrigo,Facebook Ads - Instagram
928,Fernando,Organic
929,Joaquim,Criteo Remarketing
930,Luciana,Organic
931,Márci,Referral
932,Sebastiã,Social Media
933,Daniel,Google Ads - Search
934,Daniel,Google Ads - Display
935,Sônia,Social Media
936,Marcos,Direct
937,Márci,Facebook Ads - Instagram
938,Robert,Facebook Ads - Instagram
939,Josefa,Organic
940,Luciana,Google Ads - Search
941,Sandra,Direct
942,Rita,Referral
943,Adriana,Direct
944,Márci,Google Ads - Search
945,Benedito,Direct
946,Josefa,Google Ads - Search
947,Fabio,Direct
948,Mário,Direct
949,Fernando,Social Media
950,Luis,Google Ads - Display
951,Antônio,Organic
952,Patrícia,Facebook Ads - Instagram
953,Jorge,Google Ads - Search
954,Sandra,Google Ads - Search
955,Luis,Direct
956,Luciana,Facebook Ads - Facebook
957,Adriana,Google Ads - Search
958,Raimunda,Direct
959,Fernando,Organic
960,Márci,Social Media
961,Geraldo,Organic
962,Rodrigo,Direct
963,Patrícia,Direct
964,Manoel,Organic
965,Carlos,Organic
966,Rosa,Google Ads - Search
967,Marcos,Facebook Ads - Facebook
968,Josefa,Google Ads - Search
969,Luiz,Direct
970,Alexandre,Direct
971,Paul,Social Media
972,Luis,Facebook Ads - Facebook
973,Carlos,Google Ads - Search
974,Pedro,Direct
975,Paul,Direct
976,Márci,Direct
977,Vera,Organic
978,José,Facebook Ads - Facebook
979,João,Organic
980,José,Google Ads - Youtube
981,Paul,Referral
982,Ana,Referral
983,Mário,Social Media
984,Cláudio,Social Media
985,Fernando,Google Ads - Display
986,Robert,Google Ads - Search
987,Mário,Google Ads - Search
988,Sandra,Criteo Remarketing
989,Carlos,Direct
990,Marcos,Google Ads - Search
991,Francisca,Direct
992,Daniel,Direct
993,Cláudio,Organic
994,Francisca,Direct
995,Sônia,Direct
996,Maria,Referral
997,Fabio,Google Ads - Display
998,Paul,Organic
999,Cláudio,Direct
1000,Sebastiã,Social Media
1001,Rafael,Facebook Ads - Instagram
1002,Luiz,Google Ads - Search
1003,Paul,Organic
1004,Raimunda,Google Ads - Display
1005,Ricardo,Direct
1006,Sandra,Facebook Ads - Instagram
1007,Luciana,Google Ads - Search
1008,Raimundo,Social Media
1009,Alexandre,Google Ads - Youtube
1010,Cláudio,Criteo Remarketing
1011,Sônia,Organic
1012,Raimundo,Referral
1013,Eduardo,Direct
1014,Antônio,Criteo Remarketing
1015,Sérgio,Organic
1016,Eduardo,Direct
1017,Francisco,Social Media
1018,Cláudio,Facebook Ads - Instagram
1019,Raimunda,Direct
1020,Luciana,Organic
1021,Eduardo,Organic
1022,Edson,Google Ads - Search
1023,Rita,Criteo Remarketing
1024,Patrícia,Direct
1025,Rodrigo,Social Media
1026,Adriana,Facebook Ads - Instagram
1027,Márci,Google Ads - Youtube
1028,Rafael,Google Ads - Youtube
1029,Sérgio,Organic
1030,Luiz,Organic
1031,Antônia,Google Ads - Search
1032,Márci,Referral
1033,Raimundo,Google Ads - Youtube
1034,Terezinha,Direct
1035,Sérgio,Google Ads - Search
1036,Rodrigo,Facebook Ads - Facebook
1037,Sônia,Google Ads - Search
1038,Antônio,Direct
1039,Marcos,Direct
1040,Daniel,Criteo Remarketing
